,rateRoll_des,ratePitch_des,rateYaw_des,rateRoll,ratePitch,rateYaw,roll,pitch,yaw,roll_d,pitch_d,yaw_d,T,R,P,Y,vx,vy,vz,z
113,0.0,0.0,-0.0,-30.711,21.371,53.285,6.0,-3.1,34.7,0.0,0.0,0.0,55767.0,3944.0,-6667.0,17374.0,0.012,-0.541,-0.041,0.265
114,0.0,0.0,-0.0,-30.653,19.022,55.577,5.7,-2.8,35.2,0.0,0.0,0.0,55767.0,-12033.0,10875.0,15999.0,0.024,-0.544,0.001,0.265
115,0.0,0.0,-0.0,-28.247,17.533,55.061,5.5,-2.5,35.9,0.0,0.0,0.0,55767.0,7139.0,-7403.0,16081.0,0.031,-0.549,0.023,0.265
116,0.0,0.0,-0.0,-27.559,18.507,56.608,5.2,-2.3,36.4,0.0,0.0,0.0,55767.0,5891.0,-11741.0,10493.0,0.042,-0.5660000000000001,0.051000000000000004,0.265
117,0.0,0.0,-0.0,-24.694,17.189,55.348,4.9,-2.1,36.9,0.0,0.0,0.0,55767.0,-3371.0,-3649.0,12554.0,0.053,-0.5680000000000001,0.114,0.271
118,0.0,0.0,-0.0,-25.554,13.407,57.525,4.7,-1.9,37.5,0.0,0.0,0.0,55767.0,5467.0,-3735.0,11705.0,0.055,-0.5700000000000001,0.153,0.273
119,0.0,0.0,-0.0,-25.21,11.345,55.806,4.4,-1.7,38.0,0.0,0.0,0.0,55767.0,958.0,-8054.0,15395.0,0.07,-0.586,0.187,0.274
120,0.0,0.0,-0.0,-26.356,14.381,56.551,4.2,-1.5,38.7,0.0,0.0,0.0,55767.0,1881.0,-6656.0,11847.0,0.074,-0.588,0.223,0.276
121,0.0,0.0,-0.0,-22.861,14.61,55.863,4.0,-1.3,39.2,0.0,0.0,0.0,55767.0,6627.0,-9396.0,16153.0,0.083,-0.605,0.277,0.28200000000000003
122,0.0,0.0,-0.0,-18.793,15.756,55.52,3.7,-1.2,39.7,0.0,0.0,0.0,55767.0,6016.0,-2917.0,14945.0,0.08700000000000001,-0.605,0.313,0.28500000000000003
123,0.0,0.0,-0.0,-24.179,13.694,56.264,3.6,-0.9,40.3,0.0,0.0,0.0,55767.0,5953.0,-4957.0,11731.0,0.094,-0.605,0.34800000000000003,0.289
124,0.0,0.0,-0.0,-23.491,14.782,56.15,3.3,-0.8,40.8,0.0,0.0,0.0,55767.0,-357.0,-10594.0,16888.0,0.101,-0.62,0.382,0.292
125,0.0,0.0,-0.0,-20.283,18.277,55.52,3.1,-0.6,41.3,0.0,0.0,0.0,55767.0,3643.0,-12137.0,9502.0,0.10400000000000001,-0.622,0.429,0.299
126,0.0,0.0,-0.0,-22.231,19.481,56.207,2.9,-0.3,42.0,0.0,0.0,0.0,55767.0,8310.0,-10808.0,15363.0,0.106,-0.621,0.465,0.303
127,0.0,0.0,-0.0,-23.147,15.986,56.035,2.6,-0.1,42.5,0.0,0.0,0.0,55767.0,10539.0,-7215.0,15485.0,0.113,-0.635,0.498,0.308
128,0.0,0.0,-0.0,-24.007,17.762,55.348,2.3,0.0,43.0,0.0,0.0,0.0,55767.0,-3942.0,-7598.0,11886.0,0.114,-0.634,0.534,0.313
129,0.0,0.0,-0.0,-20.111,14.84,56.723,2.2,0.3,43.6,0.0,0.0,0.0,55767.0,-2276.0,-6261.0,15072.0,0.114,-0.636,0.586,0.322
130,0.0,0.0,-0.0,-21.83,15.47,53.4,1.9,0.4,44.1,0.0,0.0,0.0,55767.0,12068.0,-5650.0,16175.0,0.117,-0.647,0.619,0.328
